Location,Distribution Center,Forwarding Office,Manufacturing Facility,Country
"Netherlands, Venray Distribution Center (NL_DC_Venray)",1,0,0,Netherlands
"China, Shanghai Distribution Center (CN_DC_Shanghai)",1,0,0,China
"Netherlands, HLD Distribution Center (NL_DC_HLD)",1,0,0,Netherlands
"Australia, Perth Distribution Center (AU_DC_Perth)",1,0,0,Australia
"Spain, Iberia Sant Boi Distribution Center (ES_DC_IberiaSantBoi)",1,0,0,Spain
"Australia, Sydney Distribution Center (AU_DC_Sydney)",1,0,0,Australia
"United States, Mechanicsburg Distribution Center (US_DC_Mechanicsburg)",1,0,0,United States
"Germany, BNDch Forwarding Office (DE_FO_BNDch)",0,1,0,Germany
"Australia, Melbourne Distribution Center (AU_DC_Melbourne)",1,0,0,Australia
"United States, Athens Distribution Center (US_DC_Athens)",1,0,0,United States
"Sweden, Orebro Distribution Center (SE_DC_Orebro)",1,0,0,Sweden
"United States, LAD Distribution Center (US_DC_LAD)",1,0,0,United States
"France, Evreux Distribution Center (FR_DC_Evreux)",1,0,0,France
"United Kingdom, Telford Distribution Center (GB_DC_Telford)",1,0,0,United Kingdom
"Australia, Adelaide Distribution Center (AU_DC_Adelaide)",1,0,0,Australia
"Italy, Venaria Distribution Center (IT_DC_Venaria)",1,0,0,Italy
"Netherlands, BNDch Forwarding Office (NL_FO_BNDch)",0,1,0,Netherlands
"United States, PED Distribution Center (US_DC_PED)",1,0,0,United States
"Hungary, CEELog Budapest Distribution Center (HU_DC_CEELog_Budapest)",1,0,0,Hungary
"China, Wuhan Distribution Center (CN_DC_Wuhan)",1,0,0,China
Out of Stock (OOS_DRP),0,0,0,Unknown
"Poland, Northern Forwarding Office (PL_FO_Northern)",0,1,0,Poland
"Australia, Brisbane Distribution Center (AU_DC_Brisbane)",1,0,0,Australia
"Mexico, Monterrey3 Manufacturing Facility (MX_MF_Monterrey3)",0,0,1,Mexico
"Australia, ALD Distribution Center (AU_DC_ALD)",1,0,0,Australia
"France, FRL Distribution Center (FR_DC_FRL)",1,0,0,France
"China, SSPA Manufacturing Facility (CN_MF_SSPA)",0,0,1,China
"Australia, Darwin Distribution Center (AU_DC_Darwin)",1,0,0,Australia
"Taiwan, Taiwan Distribution Center (TW_DC_Taiwan)",1,0,0,Taiwan
